Depth,qc,fs,Inclination,dummy,fs/qc
2.73,30.817,0.312,1.02,0.8,0.0101242820521141
2.74,30.799,0.311,1.02,0.8,0.0100977304457937
2.75,30.632,0.31,1.02,0.8,0.0101201358056934
2.76,30.54,0.31,1.01,0.8,0.010150622134905
2.77,30.362,0.309,1.01,0.8,0.0101771951781833
2.78,30.344,0.308,1.01,0.8,0.0101502768257316
2.79,30.364,0.306,1,0.8,0.0100777236200764
2.8,30.383,0.304,1,0.8,0.010005595234177
2.81,30.43,0.301,0.99,0.8,0.00989155438711798
2.82,30.49,0.297,0.98,0.8,0.00974089865529682
2.83,30.582,0.294,0.96,0.8,0.00961349813615852
2.84,30.621,0.291,0.95,0.8,0.00950328206133046
2.85,30.635,0.288,0.94,0.8,0.0094010119144769
2.86,30.575,0.286,0.94,0.8,0.00935404742436631
2.87,30.557,0.284,0.93,1.1,0.0092941060968027
2.88,30.497,0.283,0.93,1.3,0.00927960127225629
2.89,30.437,0.283,0.93,1.3,0.00929789401057923
2.9,30.412,0.283,0.92,1.1,0.00930553728791267
2.91,30.403,0.282,0.92,1.1,0.00927540045390257
2.92,30.45,0.281,0.92,1.1,0.00922824302134647
2.93,30.497,0.279,0.91,1.3,0.0091484408302456
2.94,30.699,0.278,0.9,1.1,0.0090556695657839
2.95,30.802,0.276,0.9,1.1,0.00896045711317447
2.96,31.033,0.273,0.89,1.1,0.0087970869719331
2.97,31.118,0.272,0.89,1.1,0.00874092165306254
2.98,31.122,0.27,0.88,1.1,0.00867553499132447
2.99,31.069,0.268,0.88,1.1,0.00862596156941002
3,30.788,0.264,0.87,1.1,0.00857476939067169
3.01,30.579,0.26,0.86,1.1,0.00850256712122699
3.02,30.17,0.256,0.85,1.1,0.00848525024859132
3.03,30.053,0.249,0.83,1.3,0.00828536252620371
3.04,29.783,0.243,0.81,1.1,0.0081590168888292
3.05,29.705,0.237,0.79,1.3,0.00797845480558828
3.06,29.622,0.232,0.78,1.3,0.00783201674431166
3.07,29.589,0.229,0.77,1.3,0.00773936260096658
3.08,29.615,0.228,0.76,1.1,0.00769880128313355
3.09,29.641,0.229,0.77,1.3,0.00772578522991802
3.1,29.798,0.231,0.78,1.1,0.00775219813410296
3.11,29.886,0.234,0.79,1.3,0.00782975306163421
3.12,30.05,0.238,0.8,1.1,0.00792013311148087
3.13,30.103,0.242,0.81,1.1,0.00803906587383317
3.14,30.195,0.246,0.83,1.1,0.00814704421261798
3.15,29.514,0.25,0.84,1.1,0.00847055634614081
3.16,29.475,0.254,0.86,1.3,0.00861747243426633
3.17,29.469,0.258,0.87,1.1,0.00875496284230887
3.18,29.515,0.262,0.89,1.1,0.00887684228358462
3.19,29.56,0.266,0.9,1.1,0.00899864682002706
3.2,29.539,0.27,0.91,1.1,0.00914045837706083
3.21,29.453,0.273,0.93,1.1,0.00926900485519302
3.22,29.446,0.277,0.94,1.1,0.00940705019357468
3.23,29.459,0.28,0.95,1.1,0.0095047353949557
3.24,29.471,0.283,0.96,1.1,0.00960266024227206
3.25,29.503,0.286,0.98,1.1,0.00969392943090533
3.26,29.542,0.288,0.99,1.1,0.00974883217114616
3.27,29.404,0.29,1,1.1,0.00986260372738403
3.28,29.29,0.292,1.01,1.1,0.0099692727893479
3.29,29.003,0.294,1.02,1.1,0.0101368823914767
3.3,28.924,0.295,1.02,1.1,0.0101991425805559
3.31,28.786,0.296,1.03,1.1,0.0102827763496144
3.32,28.711,0.297,1.04,1.1,0.0103444672773501
3.33,28.633,0.297,1.04,1.1,0.0103726469458317
3.34,28.626,0.296,1.04,1.1,0.0103402501222665
3.35,28.502,0.296,1.05,1.1,0.0103852361237808
3.36,28.41,0.295,1.05,1.1,0.0103836677226329
3.37,28.19,0.294,1.05,1.1,0.0104292302234835
3.38,28.094,0.293,1.05,1.3,0.0104292731544102
3.39,27.888,0.292,1.05,1.1,0.0104704532415376
3.4,27.767,0.291,1.05,1.1,0.0104800662657111
3.41,27.6,0.289,1.05,1.1,0.0104710144927536
3.42,27.597,0.287,1.04,1.1,0.0103996811247599
3.43,27.508,0.285,1.04,1.3,0.0103606223644031
3.44,27.49,0.284,1.04,1.3,0.0103310294652601
3.45,27.419,0.282,1.04,1.3,0.0102848389802692
3.46,27.348,0.281,1.03,1.1,0.0102749744039784
3.47,27.213,0.279,1.03,1.3,0.0102524528717892
3.48,27.103,0.278,1.03,1.3,0.0102571671032727
3.49,26.88,0.277,1.03,1.3,0.0103050595238095
3.5,26.78,0.276,1.03,1.1,0.0103061986557132
3.51,26.656,0.275,1.03,1.3,0.0103166266506603
3.52,26.642,0.273,1.02,1.3,0.0102469784550709
3.53,26.596,0.271,1.02,1.3,0.0101895021807791
3.54,26.578,0.27,1.01,1.3,0.0101587779366393
3.55,26.557,0.268,1.01,1.3,0.0100915012990925
3.56,26.557,0.266,1,1.3,0.0100161915879053
3.57,26.557,0.265,1,1.3,0.00997853673231163
3.58,26.546,0.263,0.99,1.3,0.00990733067128758
3.59,26.535,0.262,0.99,1.3,0.00987375164876578
3.6,26.489,0.261,0.99,1.3,0.00985314658915021
3.61,26.464,0.26,0.99,1.3,0.00982466747279323
3.62,26.337,0.26,0.99,1.3,0.00987204313323461
3.63,26.322,0.259,0.99,1.6,0.0098396778360307
3.64,26.219,0.259,0.99,1.6,0.0098783325069606
3.65,26.07,0.258,0.99,1.6,0.00989643268124281
3.66,25.879,0.258,1,1.6,0.0099694733181344
3.67,25.872,0.258,1,1.6,0.0099721706864564
3.68,25.783,0.258,1.01,1.6,0.0100065934918357
3.69,25.698,0.258,1.02,1.6,0.0100396918048097
3.7,25.495,0.257,1.02,1.6,0.0100804079231222
3.71,25.371,0.257,1.02,1.6,0.0101296756138899
3.72,25.076,0.256,1.03,1.6,0.0102089647471686
3.73,24.966,0.255,1.03,1.6,0.0102138908916126
3.74,24.693,0.253,1.03,1.6,0.0102458186530596
3.75,24.544,0.251,1.03,1.6,0.0102265319426336
3.76,24.21,0.249,1.04,1.6,0.0102850061957869
3.77,24.086,0.247,1.03,1.6,0.0102549198704642
3.78,23.774,0.245,1.03,1.6,0.0103053756204257
3.79,23.649,0.242,1.03,1.6,0.0102329908241363
3.8,23.461,0.24,1.03,1.6,0.0102297429777077
3.81,23.298,0.238,1.02,1.6,0.0102154691389819
3.82,23.223,0.236,1.02,1.6,0.0101623390604142
3.83,23.092,0.235,1.02,1.6,0.0101766845660835
3.84,23.049,0.233,1.01,1.6,0.0101088984337715
3.85,22.893,0.232,1.01,1.6,0.0101341021272878
3.86,22.854,0.232,1.01,1.6,0.0101513958169248
3.87,22.854,0.231,1.01,1.6,0.0101076398004726
3.88,22.854,0.231,1.01,1.6,0.0101076398004726
3.89,22.879,0.23,1.01,1.6,0.0100528869268762
3.9,22.943,0.23,1.01,1.6,0.0100248441790524
3.91,22.907,0.23,1.01,1.6,0.0100405989435544
3.92,22.918,0.23,1.01,1.6,0.0100357797364517
3.93,22.868,0.23,1.01,1.6,0.0100577225817737
3.94,22.854,0.23,1.01,1.6,0.0100638837840203
3.95,22.854,0.229,1.01,1.6,0.010020127767568
3.96,22.84,0.229,1,1.6,0.0100262697022767
3.97,22.776,0.227,1,1.6,0.00996663154197401
3.98,22.762,0.224,0.99,1.6,0.00984096300852298
3.99,22.705,0.22,0.97,1.6,0.00968949570579168
4,22.677,0.216,0.95,1.6,0.00952506945363143
4.01,22.645,0.21,0.93,1.6,0.00927357032457496
4.02,22.634,0.203,0.9,1.6,0.00896880798798268
4.03,22.627,0.196,0.87,1.6,0.00866221770451231
4.04,22.588,0.191,0.85,1.6,0.00845581724809633
4.05,22.513,0.187,0.83,1.6,0.00830631190867499
4.06,22.439,0.184,0.82,1.6,0.00820000891305317
4.07,22.396,0.181,0.81,1.6,0.00808180032148598
4.08,22.3,0.182,0.82,1.6,0.00816143497757848
4.09,22.3,0.183,0.82,1.6,0.00820627802690583
4.1,22.307,0.184,0.83,1.6,0.00824853185098848
4.11,22.315,0.186,0.84,1.6,0.00833520053775487
4.12,22.304,0.188,0.85,1.6,0.00842898134863702
4.13,22.286,0.189,0.86,1.6,0.00848066050435251
